basepairs,assay,peak_name,model,r_value,area,quotient,file_name
140.79,prt1,1,gauss,0.999,36077.50654502068,0.9781244868145931,Multi_K4__230907PRT1-4test_D04_Dx.fsa
151.16,prt1,2,gauss,0.999,36077.50654502068,0.9781244868145931,Multi_K4__230907PRT1-4test_D04_Dx.fsa
229.52,prt3,3,gauss,0.998,46095.26402004671,1.3364094296356535,Multi_K4__230907PRT1-4test_D04_Dx.fsa
234.04,prt3,4,gauss,0.998,46095.26402004671,1.3364094296356535,Multi_K4__230907PRT1-4test_D04_Dx.fsa
195.82,prt2,5,gauss,0.992,30131.283921615537,1.2634744846439125,Multi_K4__230907PRT1-4test_D04_Dx.fsa
199.07,prt2,6,gauss,0.992,30131.283921615537,1.2634744846439125,Multi_K4__230907PRT1-4test_D04_Dx.fsa
266.16,prt4,7,gauss,0.996,20893.596774724665,1.4477512096574663,Multi_K4__230907PRT1-4test_D04_Dx.fsa
269.44,prt4,8,gauss,0.996,20893.596774724665,1.4477512096574663,Multi_K4__230907PRT1-4test_D04_Dx.fsa
272.39,prt4,9,gauss,0.996,20893.596774724665,1.4477512096574663,Multi_K4__230907PRT1-4test_D04_Dx.fsa
278.15,prt4,10,gauss,0.996,20893.596774724665,1.4477512096574663,Multi_K4__230907PRT1-4test_D04_Dx.fsa
281.3,prt4,11,gauss,0.996,20893.596774724665,1.4477512096574663,Multi_K4__230907PRT1-4test_D04_Dx.fsa
141.99,prt1,1,gauss,0.995,17028.58178295629,1.2177743239551584,Multi_K2__230907PRT1-4test_B04_Dx.fsa
152.12,prt1,2,gauss,0.995,17028.58178295629,1.2177743239551584,Multi_K2__230907PRT1-4test_B04_Dx.fsa
228.05,prt3,3,gauss,0.993,27050.917513824013,1.0155176615133774,Multi_K2__230907PRT1-4test_B04_Dx.fsa
232.52,prt3,4,gauss,0.993,27050.917513824013,1.0155176615133774,Multi_K2__230907PRT1-4test_B04_Dx.fsa
195.07,prt2,5,gauss,0.989,28971.12524069979,1.9445959515691988,Multi_K2__230907PRT1-4test_B04_Dx.fsa
198.22,prt2,6,gauss,0.989,28971.12524069979,1.9445959515691988,Multi_K2__230907PRT1-4test_B04_Dx.fsa
