"Sample Filename","Dye Color","Dye, Sample Peak","Size","Height","Area (Data Point)","Area (Base Pairs)","Data Point","Begin Point (Data Point)","End Point (Data Point)","Begin Point (Base Pairs)","End Point (Base Pairs)",
"Multi_K1__230907PRT1-4test_A04_Dx.fsa","BLUE","B, 1","0.25","1923.00","0.00","1405.64","980.00","973.00","989.00","-1.00","1.40",
"Multi_K2__230907PRT1-4test_B04_Dx.fsa","BLUE","B, 1","0.13","2115.00","0.00","1460.26","984.00","977.00","993.00","-1.00","1.27",
"Multi_K6__230907PRT1-4test_F04_Dx.fsa","BLUE","B, 1","0.13","2562.00","0.00","1694.42","967.00","960.00","976.00","-1.00","1.28",
"Multi_K3__230907PRT1-4test_C04_Dx.fsa","BLUE","B, 1","0.38","2163.00","0.00","1731.50","975.00","968.00","984.00","-1.00","1.53",
"Multi_K4__230907PRT1-4test_D04_Dx.fsa","BLUE","B, 1","*0.00","2223.00","0.00","1517.66","975.00","968.00","984.00","-1.00","1.15",
"Multi_K7__230907PRT1-4test_G04_Dx.fsa","BLUE","B, 1","*0.00","2763.00","0.00","1724.02","966.00","959.00","975.00","-1.00","1.15",
"Multi_K5__230907PRT1-4test_E04_Dx.fsa","BLUE","B, 1","2.05","3531.00","0.00","1681.15","993.00","986.00","999.00","1.15","2.82",
"Multi_K1__230907PRT1-4test_A04_Dx.fsa","BLUE","B, 2","2.42","2970.00","0.00","1441.91","997.00","989.00","1003.00","1.40","3.18",
"Multi_K2__230907PRT1-4test_B04_Dx.fsa","BLUE","B, 2","2.29","2676.00","0.00","1300.50","1001.00","993.00","1007.00","1.27","3.06",
"Multi_K6__230907PRT1-4test_F04_Dx.fsa","BLUE","B, 2","2.31","3984.00","0.00","2001.15","984.00","976.00","990.00","1.28","3.08",
"Multi_K3__230907PRT1-4test_C04_Dx.fsa","BLUE","B, 2","2.55","2949.00","0.00","1453.38","992.00","984.00","999.00","1.53","3.44",
"Multi_K4__230907PRT1-4test_D04_Dx.fsa","BLUE","B, 2","2.18","3888.00","0.00","1962.69","992.00","984.00","998.00","1.15","2.95",
"Multi_K7__230907PRT1-4test_G04_Dx.fsa","BLUE","B, 2","2.18","3888.00","0.00","1912.31","983.00","975.00","989.00","1.15","2.95",
"Multi_K5__230907PRT1-4test_E04_Dx.fsa","BLUE","B, 2","6.54","82881.00","0.00","88425.68","1028.00","1021.00","1039.00","5.64","7.95",
"Multi_K1__230907PRT1-4test_A04_Dx.fsa","BLUE","B, 3","6.88","84168.00","0.00","84126.36","1032.00","1025.00","1043.00","5.99","8.28",
"Multi_K2__230907PRT1-4test_B04_Dx.fsa","BLUE","B, 3","6.75","81291.00","0.00","78967.06","1036.00","1029.00","1046.00","5.86","8.03",
"Multi_K6__230907PRT1-4test_F04_Dx.fsa","BLUE","B, 3","4.36","348.00","0.00","102.69","1000.00","990.00","1007.00","3.08","5.26",
"Multi_K3__230907PRT1-4test_C04_Dx.fsa","BLUE","B, 3","7.01","84348.00","0.00","84693.11","1027.00","1020.00","1038.00","6.11","8.41",
"Multi_K4__230907PRT1-4test_D04_Dx.fsa","BLUE","B, 3","6.54","80739.00","0.00","88727.22","1026.00","1019.00","1037.00","5.64","7.95",
"Multi_K7__230907PRT1-4test_G04_Dx.fsa","BLUE","B, 3","4.23","366.00","0.00","96.54","999.00","989.00","1006.00","2.95","5.13",
"Multi_K5__230907PRT1-4test_E04_Dx.fsa","BLUE","B, 3","9.62","82881.00","0.00","83787.61","1052.00","1045.00","1061.00","8.72","10.77",
"Multi_K1__230907PRT1-4test_A04_Dx.fsa","BLUE","B, 4","9.94","84141.00","0.00","78843.95","1056.00","1048.00","1064.00","8.92","10.96",
"Multi_K2__230907PRT1-4test_B04_Dx.fsa","BLUE","B, 4","9.68","81291.00","0.00","78250.45","1059.00","1052.00","1068.00","8.79","10.83",
"Multi_K6__230907PRT1-4test_F04_Dx.fsa","BLUE","B, 4","6.67","81420.00","0.00","91520.48","1018.00","1011.00","1030.00","5.77","8.21",
"Multi_K3__230907PRT1-4test_C04_Dx.fsa","BLUE","B, 4","10.06","84348.00","0.00","80139.83","1051.00","1044.00","1059.00","9.17","11.08",
"Multi_K4__230907PRT1-4test_D04_Dx.fsa","BLUE","B, 4","9.62","80199.00","0.00","82879.53","1050.00","1043.00","1059.00","8.72","10.77",
"Multi_K7__230907PRT1-4test_G04_Dx.fsa","BLUE","B, 4","6.67","80097.00","0.00","87955.50","1018.00","1010.00","1029.00","5.64","8.08",
"Multi_K5__230907PRT1-4test_E04_Dx.fsa","BLUE","B, 4","11.41","82881.00","0.00","83227.83","1066.00","1061.00","1076.00","10.77","12.69",
